STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,agedef,Age definition,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2020,,63095,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2021,,69360,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2022,,347429,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2023,,142149,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,1995,,1096048,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,1996,,959691,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,1997,,840633,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,1998,,802456,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,1999,,874023,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2000,,841158,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2001,,879217,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2002,,842543,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2003,,768975,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2004,,780175,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2005,,707352,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2006,,661855,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2007,,680766,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2008,,682146,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2009,,346216,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2010,,404055,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2011,,489422,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2012,,592175,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2013,,692713,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2014,,898840,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2015,,1595865,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2016,,1042484,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2017,,900291,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2018,,855708,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2019,,834338,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2020,,666639,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2021,,801361,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2022,,1977121,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DE,Germany,2023,,1303251,,e,estimated,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,1995,,63187,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,1996,,54445,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,1997,,50105,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,1998,,51372,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,1999,,50236,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2000,,52915,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2001,,55984,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2002,,52778,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2003,,49754,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2004,,49860,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2005,,52458,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2006,,56750,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2007,,64656,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2008,,57357,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2009,,51800,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2010,,52236,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2011,,52833,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2012,,54409,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2013,,60312,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2014,,68388,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2015,,78492,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2016,,74383,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2017,,68579,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2018,,64669,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2019,,61384,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2020,,57230,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2021,,63489,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2022,,121183,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2023,,98344,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2000,,35,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2001,,241,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2002,,575,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2003,,967,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2004,,1097,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2005,,1436,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2006,,2234,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2007,,3741,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2008,,3671,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2009,,3884,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2010,,2810,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2011,,3709,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2012,,2639,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2013,,4109,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2014,,3904,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2015,,15413,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2016,,14822,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2017,,17616,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2018,,17547,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2019,,18259,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2020,,16209,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2021,,19524,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2022,,49414,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2023,,26399,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,1995,,98989,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,1996,,95585,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,1997,,113477,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,1998,,116411,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,1999,,84695,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2000,,109251,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2001,,98471,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2002,,67220,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2003,,63141,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2004,,66871,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2005,,70933,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2006,,63094,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2007,,63298,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2008,,66529,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2009,,58613,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2010,,60462,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2011,,60089,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2012,,58200,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2013,,57946,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2014,,59013,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2015,,64446,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2016,,116867,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2017,,112247,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2018,,119489,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2019,,129459,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2020,,84221,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2021,,57120,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2022,,96662,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EL,Greece,2023,,118816,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,1995,,36092,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,1996,,29895,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,1997,,57877,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,1998,,81227,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,1999,,127365,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2000,,362468,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2001,,414772,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2002,,483260,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2003,,470010,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2004,,684561,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2005,,719284,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2006,,840844,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2007,,958266,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2008,,599075,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2009,,392962,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2010,,360705,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2011,,371331,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2012,,304053,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2013,,280772,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2014,,305454,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2015,,342114,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2016,,414746,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2017,,532132,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2018,,643684,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2019,,750480,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2020,,467918,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2021,,887960,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2022,,1258894,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,ES,Spain,2023,,1250991,,,,,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EU27_2020,European Union - 27 countries (from 2020),2013,,2901962,,bep,"break in time series, estimated, provisional",,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EU27_2020,European Union - 27 countries (from 2020),2014,,3187841,,ep,"estimated, provisional",,
dataflow,ESTAT:MIGR_IMM8(1.0),Immigration by age and sex,A,Annual,REACH,Age reached during the year,TOTAL,Total,NR,Number,T,Total,EU27_2020,European Union - 27 countries (from 2020),2015,,4097244,,bep,"break in time series, estimated, provisional",,
